,estado,municipio,casosAcumulado,obitosAcumulado
326079,BA,Iramaia,714,17
326239,BA,Iraquara,2716,23
326399,BA,Irará,3086,33
326559,BA,Irecê,15680,171
326719,BA,Itabela,2945,80
326879,BA,Itaberaba,8576,175
327039,BA,Itabuna,45745,814
327199,BA,Itacaré,1876,32
327359,BA,Itaeté,501,13
327519,BA,Itagi,1367,26
327679,BA,Itagibá,1896,33
327839,BA,Itagimirim,798,15
327999,BA,Itaguaçu da Bahia,1156,10
328159,BA,Itaju do Colônia,523,9
328319,BA,Itajuípe,3512,64
328479,BA,Itamaraju,8550,171
328639,BA,Itamari,830,13
328799,BA,Itambé,2819,27
328959,BA,Itanagra,741,9
329119,BA,Itanhém,1881,42
329279,BA,Itaparica,1913,42
329439,BA,Itapé,1071,34
329599,BA,Itapebi,1228,28
329759,BA,Itapetinga,8254,185
329919,BA,Itapicuru,2191,27
330079,BA,Itapitanga,1223,17
330239,BA,Itaquara,849,10
330399,BA,Itarantim,933,39
330559,BA,Itatim,1454,29
330719,BA,Itiruçu,1538,28
330879,BA,Itiúba,2916,49
331039,BA,Itororó,3950,41
331199,BA,Ituaçu,2630,34
331359,BA,Ituberá,2265,58
331519,BA,Iuiu,1118,15
331679,BA,Jaborandi,860,10
331839,BA,Jacaraci,1823,36
331999,BA,Jacobina,9836,134
332159,BA,Jaguaquara,7468,67
332319,BA,Jaguarari,3279,61
332479,BA,Jaguaripe,1730,26
332639,BA,Jandaíra,1008,15
332799,BA,Jequié,25127,440
332959,BA,Jeremoabo,3038,53
333119,BA,Jiquiriçá,1825,31
333279,BA,Jitaúna,1350,31
333439,BA,João Dourado,2391,61
333599,BA,Juazeiro,29648,497
333759,BA,Jucuruçu,1254,14
333919,BA,Jussara,1275,17
334079,BA,Jussari,890,12
334239,BA,Jussiape,521,10
334399,BA,Lafaiete Coutinho,617,9
334559,BA,Lagoa Real,1636,14
334719,BA,Laje,2867,46
334879,BA,Lajedão,854,9
335039,BA,Lajedinho,441,1
335199,BA,Lajedo do Tabocal,1020,14
335359,BA,Lamarão,462,8
335519,BA,Lapão,2876,37
335679,BA,Lauro de Freitas,33988,592
335839,BA,Lençóis,1529,23
335999,BA,Licínio de Almeida,710,14
